"Date","Price","Open","High","Low","Vol.","Change %"
"27-12-2024","48.39","49.70","49.99","48.18","1.93M","-2.04%"
"26-12-2024","49.40","50.22","50.70","49.25","1.72M","-1.67%"
"24-12-2024","50.24","50.13","50.75","49.98","1.12M","0.22%"
"23-12-2024","50.13","51.90","52.01","50.00","2.46M","-2.11%"
"20-12-2024","51.21","52.32","53.05","51.13","1.75M","-2.49%"
"19-12-2024","52.52","52.65","52.74","51.88","1.36M","-0.81%"
"18-12-2024","52.95","53.60","54.18","52.72","1.18M","-1.84%"
"17-12-2024","53.94","54.05","54.78","53.40","1.55M","-0.75%"
"16-12-2024","54.35","54.32","54.69","53.95","1.18M","0.52%"
"13-12-2024","54.07","54.01","54.49","53.07","1.50M","-0.13%"
"12-12-2024","54.14","55.49","55.50","54.01","1.47M","-2.31%"
"11-12-2024","55.42","54.11","55.75","54.11","3.15M","2.61%"
"10-12-2024","54.01","55.40","55.95","53.84","3.39M","-2.51%"
"09-12-2024","55.40","55.51","56.10","55.30","1.87M","-0.20%"
"06-12-2024","55.51","54.94","55.75","54.88","1.76M","1.15%"
"05-12-2024","54.88","56.02","56.19","54.04","3.18M","-1.98%"
"04-12-2024","55.99","56.90","57.12","55.20","2.51M","-0.80%"
"03-12-2024","56.44","53.80","57.95","52.10","8.84M","4.87%"
"02-12-2024","53.82","53.70","54.21","52.45","1.72M","0.19%"
"29-11-2024","53.72","53.90","54.39","53.26","1.11M","-0.26%"
"28-11-2024","53.86","53.59","54.75","53.43","1.40M","0.56%"
"27-11-2024","53.56","52.61","53.97","52.61","1.60M","1.81%"
"26-11-2024","52.61","52.50","53.25","52.38","1.34M","0.88%"
"25-11-2024","52.15","53.49","53.64","51.90","2.54M","-0.74%"
"22-11-2024","52.54","52.35","53.05","51.83","1.51M","0.10%"
"21-11-2024","52.49","54.16","54.30","52.30","1.66M","-3.08%"
"19-11-2024","54.16","53.80","55.36","53.79","1.34M","0.74%"
"18-11-2024","53.76","55.00","55.19","52.91","1.22M","-0.50%"
"14-11-2024","54.03","53.39","54.94","52.89","1.85M","2.78%"
"13-11-2024","52.57","55.00","55.59","52.30","3.22M","-3.08%"
"12-11-2024","54.24","55.62","56.09","53.25","1.29M","-2.24%"
"11-11-2024","55.48","55.10","55.70","54.79","1.22M","0.22%"
"08-11-2024","55.36","57.29","57.29","55.15","3.95M","-3.03%"
"07-11-2024","57.09","58.20","58.30","56.86","1.00M","-0.63%"
